Wavelength (nm)	Relative Intensity (a.u.)
350	0.0112
351	0.01173
352	0.01222
353	0.01267
354	0.0131
355	0.01348
356	0.01381
357	0.01408
358	0.01432
359	0.01452
360	0.0147
361	0.01487
362	0.01499
363	0.01515
364	0.01533
365	0.01551
366	0.01579
367	0.01609
368	0.01645
369	0.01687
370	0.01733
371	0.0179
372	0.01852
373	0.01918
374	0.01995
375	0.02077
376	0.02165
377	0.02259
378	0.02357
379	0.0246
380	0.02568
381	0.02678
382	0.02792
383	0.02911
384	0.03027
385	0.03143
386	0.03258
387	0.0337
388	0.0348
389	0.03589
390	0.03696
391	0.03799
392	0.03893
393	0.0399
394	0.04089
395	0.04181
396	0.04274
397	0.04367
398	0.04458
399	0.0455
400	0.04646
401	0.04747
402	0.04851
403	0.04967
404	0.05088
405	0.05217
406	0.0535
407	0.05487
408	0.05631
409	0.05782
410	0.05942
411	0.06108
412	0.0628
413	0.06452
414	0.06634
415	0.0682
416	0.0701
417	0.07208
418	0.07409
419	0.07615
420	0.07828
421	0.08047
422	0.08264
423	0.08483
424	0.08711
425	0.08939
426	0.09172
427	0.09406
428	0.09647
429	0.09914
430	0.10185
431	0.10453
432	0.10724
433	0.11006
434	0.11289
435	0.11573
436	0.11866
437	0.12158
438	0.12456
439	0.12757
440	0.13064
441	0.13372
442	0.13683
443	0.14001
444	0.14322
445	0.14646
446	0.1497
447	0.15296
448	0.15624
449	0.15958
450	0.16295
451	0.16626
452	0.16961
453	0.17299
454	0.17635
455	0.17964
456	0.18301
457	0.1863
458	0.18961
459	0.1929
460	0.19619
461	0.19946
462	0.20276
463	0.20607
464	0.20932
465	0.21262
466	0.21589
467	0.21921
468	0.22261
469	0.22601
470	0.22949
471	0.2331
472	0.23679
473	0.24046
474	0.24436
475	0.24839
476	0.25262
477	0.25693
478	0.26142
479	0.26608
480	0.27089
481	0.27585
482	0.281
483	0.28624
484	0.29162
485	0.29688
486	0.30254
487	0.30825
488	0.31375
489	0.31977
490	0.32558
491	0.33159
492	0.33715
493	0.34335
494	0.34973
495	0.35619
496	0.36247
497	0.36881
498	0.37492
499	0.38116
500	0.38776
501	0.39437
502	0.40106
503	0.40819
504	0.41494
505	0.42156
506	0.4285
507	0.43541
508	0.44256
509	0.44961
510	0.45702
511	0.46444
512	0.47147
513	0.479
514	0.48641
515	0.49393
516	0.50121
517	0.50849
518	0.51601
519	0.52359
520	0.53105
521	0.53809
522	0.54522
523	0.55256
524	0.55961
525	0.56695
526	0.57405
527	0.5816
528	0.58871
529	0.596
530	0.60357
531	0.61079
532	0.61834
533	0.62565
534	0.63315
535	0.64076
536	0.64814
537	0.65544
538	0.66233
539	0.66953
540	0.67659
541	0.6839
542	0.69097
543	0.69786
544	0.70471
545	0.71174
546	0.71857
547	0.72528
548	0.73171
549	0.73807
550	0.7445
551	0.75111
552	0.75743
553	0.76373
554	0.76998
555	0.77608
556	0.78208
557	0.78834
