                    File , Detector , Filter ,   Date-Obs ,           Alt ,            Az ,       Airmass , Exposure Time ,    CCD Temp , Gain
 aug31_twi_001_03_f.fits ,      PS1 ,      i , 2006-08-31 ,81.67299996,65.09052289,1.010634989,20,-0.4455555,1
 aug31_twi_001_04_f.fits ,      PS1 ,      z , 2006-08-31 ,81.67299996,65.09052289,1.010634989,20,0.439452,1
 aug31_twi_003_05_f.fits ,      PS1 ,      y , 2006-08-31 ,81.67299996,65.09052289,1.010634989,1,-0.48828,1
 aug31_twi_004_03_f.fits ,      PS1 ,      i , 2006-08-31 ,81.67299996,65.09052289,1.010634989,0.1,-0.317382,1
 aug31_twi_004_05_f.fits ,      PS1 ,      y , 2006-08-31 ,81.67299996,65.09052289,1.010634989,2,-0.390624,1
 aug31_twi_005_03_f.fits ,      PS1 ,      i , 2006-08-31 ,81.67299996,65.09052289,1.010634989,0.4,0.292968,1
 aug31_twi_005_05_f.fits ,      PS1 ,      y , 2006-08-31 ,81.67299996,65.09052289,1.010634989,8,0.2868645,1
 aug31_twi_006_01_f.fits ,      PS1 ,      g , 2006-08-31 ,81.67299996,65.09052289,1.010634989,0.7,0.512694,1
 aug31_twi_006_02_f.fits ,      PS1 ,      r , 2006-08-31 ,81.67299996,65.09052289,1.010634989,1,-0.195312,1
 aug31_twi_006_03_f.fits ,      PS1 ,      i , 2006-08-31 ,81.67299996,65.09052289,1.010634989,1,-0.085449,1
 aug31_twi_006_04_f.fits ,      PS1 ,      z , 2006-08-31 ,81.67299996,65.09052289,1.010634989,3,0.09460425,1
 aug31_twi_006_05_f.fits ,      PS1 ,      y , 2006-08-31 ,81.67299996,65.09052289,1.010634989,20,-0.195312,1
 aug31_twi_007_03_f.fits ,      PS1 ,      i , 2006-08-31 ,81.67299996,65.09052289,1.010634989,1,-0.073242,1
 aug31_twi_007_04_f.fits ,      PS1 ,      z , 2006-08-31 ,81.67299996,65.09052289,1.010634989,3,0.439452,1
 aug31_twi_008_01_f.fits ,      PS1 ,      g , 2006-08-31 ,81.67299996,65.09052289,1.010634989,1.4,0.61035,1
 aug31_twi_008_02_f.fits ,      PS1 ,      r , 2006-08-31 ,81.67299996,65.09052289,1.010634989,2,0.463866,1
 aug31_twi_008_03_f.fits ,      PS1 ,      i , 2006-08-31 ,81.67299996,65.09052289,1.010634989,2,0.45471075,1
 aug31_twi_008_04_f.fits ,      PS1 ,      z , 2006-08-31 ,81.67299996,65.09052289,1.010634989,6,0.61035,1
 aug31_twi_009_02_f.fits ,      PS1 ,      r , 2006-08-31 ,81.67299996,65.09052289,1.010634989,3,0.268554,1
 aug31_twi_009_03_f.fits ,      PS1 ,      i , 2006-08-31 ,81.67299996,65.09052289,1.010634989,3,0.268554,1
 aug31_twi_009_04_f.fits ,      PS1 ,      z , 2006-08-31 ,81.67299996,65.09052289,1.010634989,9,0.44860725,1
 aug31_twi_010_01_f.fits ,      PS1 ,      g , 2006-08-31 ,81.67299996,65.09052289,1.010634989,2.1,0.28381275,1
 aug31_twi_011_01_f.fits ,      PS1 ,      g , 2006-08-31 ,81.67299996,65.09052289,1.010634989,3.5,0.268554,1
 aug31_twi_011_02_f.fits ,      PS1 ,      r , 2006-08-31 ,81.67299996,65.09052289,1.010634989,5,1.123044,1
 aug31_twi_011_03_f.fits ,      PS1 ,      i , 2006-08-31 ,81.67299996,65.09052289,1.010634989,5,0.903318,1
 aug31_twi_011_04_f.fits ,      PS1 ,      z , 2006-08-31 ,81.67299996,65.09052289,1.010634989,15,0.903318,1
 aug31_twi_012_01_f.fits ,      PS1 ,      g , 2006-08-31 ,81.67299996,65.09052289,1.010634989,5.6,0.708006,1
 aug31_twi_012_02_f.fits ,      PS1 ,      r , 2006-08-31 ,81.67299996,65.09052289,1.010634989,8,0.415038,1
 aug31_twi_012_03_f.fits ,      PS1 ,      i , 2006-08-31 ,81.67299996,65.09052289,1.010634989,8,0.73242,1
 aug31_twi_013_01_f.fits ,      PS1 ,      g , 2006-08-31 ,81.67299996,65.09052289,1.010634989,9.8,0.927732,1
 aug31_twi_013_02_f.fits ,      PS1 ,      r , 2006-08-31 ,81.67299996,65.09052289,1.010634989,14,0.55236675,1
 aug31_twi_013_03_f.fits ,      PS1 ,      i , 2006-08-31 ,81.67299996,65.09052289,1.010634989,14,0.903318,1
