#HV	PMT_A_100s	PMT_B_60s	PMT_C_60s	PMT_D_60s	PMT_A_60s	PMT_A_60s(.5mV)
1100	-		-			49			-			-
1150	-		-			258			-			-
1200	-		-			363			4			-
1300	-		45			482			79			-
1350	-		77			-			157			-
1400	181		133			682			314			6			22
1450	-		162			1521		589			17			42
1500	634		196			3323		988			21			72
1525	-		-			-			-			49			
1550	851		278			-			1212		-			150
1575	-		-			-			-			82
1600	1542	416			-			2048		103			308
1650	2233	-			-			-			158			496
1700	3849	-			-			4973		320			782
1750	6056	-			-			-			576			1204
1800	8608	-			-			-			863			2256
1850	-		-			-			-			1589
1900    13508	-			-			-			2714
