#angle	nofilt	angle error	nofilterr	filt	angle error	filterr
17.5	208	0.125	33.36364984	103	0.125	22.56465997
18	194	0.125	28.96808323	62	0.125	19.0095366
18.5	181	0.125	26.44127595	20	0.125	18.51575686
19	202	0.125	24.30950643	6	0.125	15.61577311
19.5	677	0.125	34.03400534	20	0.125	15.43766808
20	702	0.125	34.67016299	40	0.125	16.8027656
20.5	225	0.125	22.92814407	122	0.125	19.4026711
21	208	0.125	21.73523837	133	0.125	19.12116734
21.5	272	0.125	23.66115836	185	0.125	20.98242696
22	1561	0.125	45.04587011	1136	0.125	39.29893823
22.5	374	0.125	27.27623152	283	0.125	24.92068713
23	193	0.125	21.91973002	145	0.125	20.26874773
23.5	211	0.125	22.0563863	118	0.125	18.77496208
