#angle	nofilt	angle error	nofilterr	filt	angle error	filterr
12.5	21	0.125	9.208664262	-1	0.125	6.780726405
13	41	0.125	11.35629812	10	0.125	8.872983346
13.5	88	0.125	14.8644408	-1	0.125	8.831034899
14	35	0.125	12.90926919	-4	0.125	9.789435273
14.5	21	0.125	11.4290811	12	0.125	10.71191131
15	143	0.125	19.01106181	98	0.125	17.19008579
15.5	73	0.125	16.70006776	34	0.125	14.64969538
16	4	0.125	13.11132817	-5	0.125	12.40312424
16.5	19	0.125	12.9556652	-12	0.125	10.32713834
17	22	0.125	13.76390828	-7	0.125	11.55998811
