#
#   VizieR Astronomical Server cdsarc.u-strasbg.fr
#    Date: 2017-01-25T09:20:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ58886c960518	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=I/311/hip2
#-nav=cat:I/311&tab:{I/311/hip2}&key:source=I/311/hip2&pos:03:47:00 +24:03:00(   2 deg J2000)&HTTPPRM:&&-ref=VIZ58886c960518&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c=03:47:00 +24:03:00&-c.eq=J2000&-c.r=  2&-c.u=deg&-c.geom=r&-order=I&-out=HIP&-out=n_HIP&-out=Sn&-out=So&-out=RArad&-out=DErad&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Hpmag&-out=B-V&-out=HIP1&-ignore=HIP1=*&HIP1=HIP1&Phot=Phot&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/311/hip2
#-c=03:47:00 +24:03:00
#-c.eq=J2000
#-c.r=  2
#-c.u=deg
#-c.geom=r
#-source=I/311/hip2
#-order=I
#-out=HIP
#-out=n_HIP
#-out=Sn
#-out=So
#-out=RArad
#-out=DErad
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Hpmag
#-out=B-V
#-out=HIP1
#
#INFO	-c=056.750000+24.050000,rd=2.	
#

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#Column	HIP	(I6)	Hipparcos identifier	[ucd=meta.id;meta.main]
#Column	n_HIP	(A1)	Existence of a note in the first version of Hipparcos catalog on {\bf D}uplicity, {\bf P}hotometry or a {\bf General} note; letters W, X, Y, Z indicate notes on several topics (field H70 of the 1997 edition, Cat. I/239)	[ucd=meta.note]
#Column	Sn	(I3)	[0,159] Solution type new reduction (1)	[ucd=meta.id;stat.fit]
#Column	So	(I1)	[0,5] Solution type old reduction (2)	[ucd=meta.id;stat.fit]
#Column	RArad	(F12.8)	Right Ascension in ICRS, Ep=1991.25	[ucd=pos.eq.ra;meta.main]
#Column	DErad	(F12.8)	Declination in ICRS, Ep=1991.25	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	Parallax	[ucd=pos.parallax]
#Column	e_Plx	(F6.2)	Formal error on Plx	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.2)	Formal error on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.2)	Formal error on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Hpmag	(F7.4)	Hipparcos magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	Colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	HIP1	(A4)	Data from the first edition of the Hipparcos Catalog (1997, Cat. I/239)	[ucd=meta.ref.url]
#HIP	n_HIP	Sn	So	RArad	DErad	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Hpmag	B-V	HIP1
# 	 	 	 	deg	deg	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	mag	mag	
#———	-	---	-	------------	------------	-------	------	--------	------	--------	------	-------	------	----
 16996	 	  5	0	054.64957007	+24.60168679	   8.96	  1.07	    3.47	  1.55	  -22.69	  1.46	 8.3007	 0.428	HIP1
 17020	 	  5	0	054.73688334	+24.56991538	   2.98	  2.75	   21.24	  3.71	  -44.93	  3.32	10.6845	 0.645	HIP1
 17034	 	  5	0	054.77795755	+24.70298266	   8.32	  0.79	   23.91	  0.97	  -45.11	  0.74	 7.1287	 0.039	HIP1
 17044	 	  5	0	054.80608403	+24.46663084	  10.19	  2.19	   23.24	  2.62	  -43.11	  2.16	10.5328	 0.616	HIP1
 17091	 	  5	0	054.92150616	+23.29098750	  11.82	  1.94	   26.82	  2.74	  -44.23	  2.11	10.0767	 0.608	HIP1
 17181	 	  5	0	055.19293083	+25.32952648	   6.83	  0.50	    9.83	  0.58	  -14.86	  0.50	 6.1465	 0.097	HIP1
 17225	 	  5	0	055.34564028	+23.48704602	   8.10	  1.06	   21.78	  1.42	  -44.97	  1.26	 9.2790	 0.437	HIP1
 17245	 	  5	0	055.40064469	+25.61943238	   6.64	  1.51	   14.67	  1.80	  -47.59	  1.67	10.2149	 0.589	HIP1
 17289	 	  5	0	055.51962651	+22.85866532	   7.65	  1.50	   20.04	  1.89	  -42.56	  1.51	 9.2749	 0.463	HIP1
 17305	 	  5	0	055.56627328	+22.78664002	  18.77	  0.84	   20.81	  1.03	  -75.66	  0.88	 7.4944	 0.428	HIP1
 17317	 	  5	0	055.60005084	+22.42124648	   8.27	  2.07	   18.87	  2.22	  -43.38	  1.71	10.4945	 0.700	HIP1
 17401	 	  5	0	055.92300723	+23.64925995	   7.58	  0.90	   18.77	  1.06	  -46.36	  0.95	 8.0169	 0.347	HIP1
 17403	 	  5	0	055.92992842	+25.08083883	   7.93	  0.60	   22.38	  0.97	  -55.13	  0.98	 7.5779	 0.141	HIP1
 17489	 	  5	0	056.20084225	+24.28957701	   8.65	  0.36	   20.38	  0.43	  -44.81	  0.37	 5.4507	-0.034	HIP1
 17497	 	  5	0	056.21342697	+23.26902901	   8.33	  1.22	   21.87	  1.37	  -43.18	  1.08	 9.0747	 0.403	HIP1
 17499	 	  5	0	056.21884818	+24.11344840	   8.06	  0.25	   20.84	  0.28	  -46.06	  0.23	 3.6857	-0.105	HIP1
 17527	 	  5	0	056.29052848	+24.83937328	   7.97	  0.37	   20.36	  0.45	  -46.52	  0.41	 5.6447	-0.064	HIP1
 17531	 	  5	0	056.30200903	+24.46737906	   7.97	  0.33	   21.24	  0.38	  -40.56	  0.35	 4.2724	-0.110	HIP1
 17572	 	 15	3	056.45334199	+23.14725707	   8.24	  0.75	   20.50	  0.85	  -44.55	  0.74	 6.8756	 0.060	HIP1
 17573	 	  5	0	056.45663811	+24.36785797	   8.51	  0.28	   20.95	  0.31	  -45.98	  0.28	 3.8591	-0.063	HIP1
 17579	 	  5	0	056.47693310	+24.55462133	   8.77	  0.54	   20.18	  0.70	  -44.87	  0.62	 5.7675	-0.036	HIP1
 17583	 	  5	0	056.49636075	+25.39870211	   8.00	  0.89	   19.00	  0.99	  -47.23	  0.94	 8.1080	 0.213	HIP1
 17588	 	  5	0	056.51203202	+24.52800593	   8.58	  0.56	   19.88	  0.73	  -44.37	  0.65	 6.4389	-0.020	HIP1
 17608	 	  5	0	056.58150148	+23.94846199	   8.58	  0.37	   21.13	  0.35	  -43.65	  0.27	 4.1534	-0.051	HIP1
 17625	 	  5	0	056.64506759	+25.84397069	   4.42	  1.48	   20.91	  1.65	  -45.13	  1.38	 8.8163	 0.355	HIP1
 17664	 	  5	0	056.74743147	+24.52023406	   7.66	  0.66	   22.73	  0.84	  -45.00	  0.85	 6.8487	 0.021	HIP1
 17684	 	  5	0	056.82151786	+23.72681305	  15.52	  0.73	  -34.94	  0.69	  -25.54	  0.55	 7.0983	 0.542	HIP1
