V1 	60  	24.41	0.07	24.4 	0.07
V2 	60  	24.07	0.12	24.16	0.11
V3 	55  	23.96	0.12	24.03	0.11
V4 	55  	24.32	0.07	24.29	0.06
V5 	53  	25.03	0.15	24.98	0.14
V6 	47  	25.1 	0.09	25.19	0.08
V7 	44.2	24.71	0.15	24.7 	0.15
V8 	42.5	24.64	0.15	24.6 	0.15
V9 	41.5	24.8 	0.07	24.83	0.06
V10	41.4	24.98	0.09	24.93	0.08
V11	41  	25.17	0.1 	25.14	0.1
V12	39.2	24.89	0.09	24.9 	0.09
V13	38  	25.45	0.14	25.52	0.15
V14	37.6	25.43	0.11	25.46	0.11
V15	35.2	24.96	0.13	24.96	0.13
V16	35.1	24.84	0.13	24.87	0.14
V17	35  	24.72	0.15	24.78	0.15
V18	34.6	25.07	0.07	25.03	0.06
V19	34.5	25.17	0.08	25.11	0.08
V20	34.4	25.03	0.12	25.22	0.08
V21	34  	24.97	0.12	24.85	0.1
V22	34  	25.09	0.14	25.06	0.13
V23	34  	24.92	0.12	24.95	0.13
V24	33.6	25.28	0.14	25.36	0.13
V25	33.1	25.01	0.07	25.07	0.06
V26	32.5	24.77	0.08	24.69	0.05
V27	31.3	25.12	0.13	25.14	0.13
V28	30.3	25.65	0.12	25.68	0.12
V29	29.8	25.07	0.16	25.09	0.17
V30	29.6	24.87	0.12	24.91	0.12
V31	29  	25.13	0.15	25.21	0.16
V32	28.9	25.94	0.2 	26.1 	0.2
V33	28  	24.71	0.09	24.77	0.09
V34	28  	25.15	0.09	25.14	0.09
V35	27.5	25.55	0.15	25.65	0.16
V36	26.6	25.58	0.1 	25.64	0.09
V37	26.5	25.5 	0.16	25.3 	0.08
V38	26.5	25.48	0.13	25.49	0.13
V39	26.1	25.45	0.18	25.37	0.17
V40	25  	25.05	0.12	25.05	0.11
V41	23.5	25.27	0.12	25.26	0.12
V42	22.9	25.54	0.12	25.46	0.13
V43	21  	25.31	0.08	25.26	0.07
V44	21  	25.72	0.15	25.58	0.1
V45	20.3	26.01	0.06	26   	0.06
V46	20.1	25.44	0.16	25.36	0.16
V47	20  	25.02	0.04	25   	0.04
V48	18.8	25.67	0.07	25.65	0.07
V49	18  	25.84	0.14	25.84	0.14
V50	16.3	26.07	0.09	26.05	0.09
V51	16.2	26.09	0.09	26.17	0.1
V52	14.2	26.27	0.18	26.16	0.15
